text,comment_id,annotator_id,sentiment,respect,insult,humiliate,status,dehumanize,violence,genocide,attack_defend,hatespeech,vote_distributions,rater_method,rater_type
@DVATW We should give Muslims the same rights that Muslims give to all other religions within Muslim Countries. No more no less. Give an inch and they will take a mile.,20571,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2,"{""sentiment"": {""3"": 2, ""4"": 3}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""1"": 4, ""0"": 1}, ""violence"": {""0"": 3, ""1"": 2}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
An Iran who isn't kept in check will probably attack Israel leading to WW3. GET IT?,45219,deepseek-v4-flash_modu_no_slur,4,4.0,3.0,3.0,3.0,0.0,1.0,0.0,4.0,0,"{""sentiment"": {""3"": 2, ""4"": 3}, ""respect"": {""4"": 3, ""3"": 2}, ""insult"": {""3"": 3, ""4"": 2}, ""humiliate"": {""3"": 3, ""2"": 1, ""4"": 1}, ""status"": {""3"": 3, ""4"": 2}, ""dehumanize"": {""0"": 4, ""3"": 1}, ""violence"": {""1"": 3, ""0"": 2}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
if you directly degrade a girl for having sex then fuck you,31146,deepseek-v4-flash_modu_no_slur,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,"{""sentiment"": {""4"": 5}, ""respect"": {""0"": 4, ""2"": 1}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""0"": 4, ""1"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
Giant vaginas with feet. Y'all look like the three kids that your step dad hates to have to call his own. You three fuck faces remind me of sex with Ron Jeremy. Nothing to boast about other than getting railed with a ten inch dong.,6842,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,0,"{""sentiment"": {""4"": 5}, ""respect"": {""2"": 1, ""4"": 2}, ""insult"": {""0"": 1, ""4"": 2}, ""humiliate"": {""0"": 1, ""4"": 2}, ""status"": {""2"": 1, ""4"": 2}, ""dehumanize"": {""0"": 1, ""4"": 2}, ""violence"": {""0"": 3}, ""genocide"": {""0"": 3}, ""attack_defend"": {""2"": 1, ""4"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
@MistressJD so I guess you will stay single and never have sex with a man then?,20274,deepseek-v4-flash_modu_no_slur,3,3.0,4.0,4.0,3.0,0.0,0.0,0.0,3.0,0,"{""sentiment"": {""3"": 5}, ""respect"": {""4"": 2, ""3"": 2}, ""insult"": {""4"": 3, ""3"": 1}, ""humiliate"": {""4"": 3, ""3"": 1}, ""status"": {""3"": 4}, ""dehumanize"": {""1"": 1, ""0"": 3}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""4"": 2, ""3"": 2}, ""hatespeech"": {""0"": 4, ""1"": 1}}",LLM_majority,LLM
Exactly! I wish more ladies would embrace their sexuality and use it for their own pleasure and gain. It's so liberating!,14389,deepseek-v4-flash_modu_no_slur,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,"{""sentiment"": {""0"": 5}, ""respect"": {""0"": 4, ""1"": 1}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""0"": 4, ""1"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
Divorce that garbage dump the slut isn't loyal. Her value is gone and the cunt has hit the wall. Dump that used slut,9213,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""4"": 5}, ""violence"": {""0"": 3, ""1"": 2}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
White people gonna gag when the geography change and coming in from Europe will get u deported right back to the region that don't know how to cook with flavor. Go back to ur snails on toast!,44044,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""3"": 3, ""4"": 2}, ""dehumanize"": {""1"": 1, ""0"": 3, ""2"": 1}, ""violence"": {""0"": 2, ""3"": 1, ""2"": 1, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
Her cunt became the world.,2371,deepseek-v4-flash_modu_no_slur,2,4.0,4.0,4.0,2.0,3.0,0.0,0.0,4.0,1,"{""sentiment"": {""4"": 1, ""1"": 1, ""2"": 2, ""3"": 1}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""0"": 2, ""4"": 2, ""2"": 1}, ""dehumanize"": {""3"": 4, ""0"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""1"": 5}}",LLM_majority,LLM
I'm usually against interracial couples.... but I don't think anyone is missing out here.,6454,deepseek-v4-flash_modu_no_slur,3,4.0,3.0,4.0,3.0,1.0,0.0,0.0,3.0,2,"{""sentiment"": {""3"": 4, ""4"": 1}, ""respect"": {""4"": 5}, ""insult"": {""3"": 3, ""4"": 2}, ""humiliate"": {""3"": 2, ""4"": 3}, ""status"": {""4"": 2, ""3"": 3}, ""dehumanize"": {""1"": 3, ""0"": 2}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 2, ""3"": 3}, ""hatespeech"": {""2"": 3, ""1"": 1, ""0"": 1}}",LLM_majority,LLM
"It was Africans who sold slaves to the Americans, they didn't capture them. It was all for the money. Africans didn't care about each other, they wanted the money",47554,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,3.0,1.0,0.0,0.0,4.0,2,"{""sentiment"": {""3"": 2, ""4"": 3}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""3"": 3, ""4"": 2}, ""dehumanize"": {""0"": 1, ""1"": 3, ""3"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
No one likes a loose pussy. Keep them locked up!,11911,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""4"": 5}, ""violence"": {""4"": 2, ""1"": 1, ""3"": 2}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
"Ok, if you see this tweet, we're now a gay couple",21073,deepseek-v4-flash_modu_no_slur,1,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""2"": 2, ""1"": 3}, ""respect"": {""0"": 3, ""1"": 1, ""2"": 1}, ""insult"": {""0"": 4, ""1"": 1}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 4, ""1"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
Eat dick retard,13743,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,2.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""1"": 2, ""4"": 2, ""3"": 1}, ""violence"": {""0"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
This is what I want. Every FtM I've talked to has no desire to groom and it's not attractive. But this here is nice.,7237,deepseek-v4-flash_modu_no_slur,1,3.0,4.0,3.0,3.0,0.0,0.0,0.0,3.0,0,"{""sentiment"": {""3"": 1, ""1"": 4}, ""respect"": {""4"": 1, ""3"": 4}, ""insult"": {""4"": 3, ""3"": 1, ""2"": 1}, ""humiliate"": {""2"": 1, ""3"": 2, ""1"": 1, ""4"": 1}, ""status"": {""3"": 3, ""2"": 2}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""3"": 5}, ""hatespeech"": {""2"": 1, ""1"": 2, ""0"": 2}}",LLM_majority,LLM
#LetsFightForKashmir World should know the real face of India as they are using cluster toy bombs against Kashmiris  @Warrior_1947 @Ik_Warriors,38390,deepseek-v4-flash_modu_no_slur,4,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""4"": 5}, ""respect"": {""2"": 1, ""4"": 2, ""0"": 2}, ""insult"": {""0"": 3, ""4"": 1, ""3"": 1}, ""humiliate"": {""0"": 3, ""4"": 2}, ""status"": {""2"": 3, ""4"": 1, ""3"": 1}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""0"": 2, ""4"": 2, ""1"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"Interestingly, while the romans were super racist, it wasn't our idea of racism today. It was an ""us or them"" mentality. If you opposed them, they would burn your cities and enslave you without a hint of sympathy. But if you surrendered immediately when they came for you, you were roman. It didn't matter your skin color, or where you were born, you were a Roman citizen.  Romans understood where you came from didn't matter. It was all about who you were now. (Note I do not support the romans there were barbaric in practice.)",9427,deepseek-v4-flash_modu_no_slur,2,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""2"": 3, ""3"": 2}, ""respect"": {""2"": 4}, ""insult"": {""0"": 4}, ""humiliate"": {""0"": 4}, ""status"": {""2"": 4}, ""dehumanize"": {""0"": 4}, ""violence"": {""0"": 4}, ""genocide"": {""0"": 4}, ""attack_defend"": {""2"": 4}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
@casspernyovest I know niggers that can remove with sideburns with a bullet just say word,25391,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,4.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 4, ""3"": 1}, ""dehumanize"": {""4"": 5}, ""violence"": {""4"": 5}, ""genocide"": {""0"": 4, ""4"": 1}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
Bottom bitches should get locked up in a cock cage!! You aren't gonna need it anyways!! Now let's get started!!,1630,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,3.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 4}, ""insult"": {""4"": 4}, ""humiliate"": {""4"": 4}, ""status"": {""4"": 4}, ""dehumanize"": {""4"": 3, ""3"": 1}, ""violence"": {""4"": 2, ""3"": 2}, ""genocide"": {""0"": 4}, ""attack_defend"": {""4"": 4}, ""hatespeech"": {""2"": 4, ""1"": 1}}",LLM_majority,LLM
: females are literal reptiles : like born snakes : they talk about everyone they hang around : some know it : some dont 🤷🏽‍♂️😂 :,31050,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""4"": 5}, ""violence"": {""0"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
@AdamSerwer @jonfavs The advancements achieved during the Civil Rights Era have been fought tooth-and-nail since then. Affirmative action has been chipped away because SCOTUS—mostly white people—claimed that it discriminated against white people.,34242,deepseek-v4-flash_modu_no_slur,3,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""4"": 2, ""3"": 3}, ""respect"": {""3"": 4, ""0"": 1}, ""insult"": {""1"": 2, ""2"": 1, ""0"": 2}, ""humiliate"": {""0"": 4, ""1"": 1}, ""status"": {""1"": 3, ""2"": 2}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 2, ""3"": 2, ""1"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
Just amazing! 5000 Iranians partook in a huge gathering in Sweden today to support the uprisings in Iran and to support the Iranian Resistance (PMOI/MEK) led by @Maryam_Rajavi.  It's time for a #FreeIran!  #Iran #WeSupportMEK URL,31475,deepseek-v4-flash_modu_no_slur,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""0"": 5}, ""respect"": {""2"": 1, ""0"": 3, ""1"": 1}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 3, ""0"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"I say, God is dead so I'll have my Satan pray for you, loser",995,deepseek-v4-flash_modu_no_slur,4,,,,,,,,,0,"{""sentiment"": {""4"": 5}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"@SenTedCruz The largest, most dangerous domestic terror group in the USA right now are radicalized conservative white men with guns and bombs. URL",31443,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,0,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 4, ""3"": 1}, ""humiliate"": {""4"": 4, ""3"": 1}, ""status"": {""4"": 5}, ""dehumanize"": {""0"": 4, ""1"": 1}, ""violence"": {""0"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""0"": 3, ""2"": 2}}",LLM_majority,LLM
"I don't know, something about it being a race issue which I don't think it is.",10943,deepseek-v4-flash_modu_no_slur,2,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""2"": 3, ""3"": 2}, ""respect"": {""3"": 4, ""2"": 1}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 4, ""1"": 1}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""3"": 1, ""2"": 3, ""1"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
Ian's a gritty 70's style faggot. The type of faggot that won't budge.,9911,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""1"": 2, ""0"": 2, ""4"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
wish my lil bitch mouth was wrapped around kimishita's cock rn (tweeting cock 4 gage),20138,deepseek-v4-flash_modu_no_slur,1,,,,,,,,,0,"{""sentiment"": {""0"": 2, ""1"": 3}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
You could use some better hip movement to rub your slut pussy on the cock,4562,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,1.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 4}, ""insult"": {""4"": 4}, ""humiliate"": {""4"": 4}, ""status"": {""4"": 4}, ""dehumanize"": {""1"": 2, ""4"": 1, ""3"": 1}, ""violence"": {""0"": 3, ""1"": 1}, ""genocide"": {""0"": 4}, ""attack_defend"": {""4"": 4}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
because bears r gay,10279,deepseek-v4-flash_modu_no_slur,3,2.0,3.0,0.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""4"": 2, ""3"": 3}, ""respect"": {""3"": 2, ""4"": 1, ""2"": 2}, ""insult"": {""4"": 2, ""2"": 2, ""0"": 1}, ""humiliate"": {""1"": 1, ""0"": 3, ""3"": 1}, ""status"": {""2"": 3, ""3"": 2}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 3, ""3"": 2}, ""hatespeech"": {""0"": 4, ""1"": 1}}",LLM_majority,LLM
Bitch fuk u,25785,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""4"": 5}, ""violence"": {""0"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 3, ""1"": 2}}",LLM_majority,LLM
White liberals violently assaulting a gay Asian because they claim he supports white supremacists. smh.,46366,deepseek-v4-flash_modu_no_slur,4,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0,"{""sentiment"": {""4"": 5}, ""respect"": {""0"": 2, ""1"": 2, ""2"": 1}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 4, ""1"": 1}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""1"": 3, ""0"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
This is the type of ignorant worldview that can only be afforded by white privilege,16086,deepseek-v4-flash_modu_no_slur,3,3.0,3.0,3.0,2.0,0.0,0.0,0.0,3.0,0,"{""sentiment"": {""4"": 2, ""3"": 3}, ""respect"": {""3"": 5}, ""insult"": {""3"": 3, ""4"": 2}, ""humiliate"": {""3"": 4, ""1"": 1}, ""status"": {""1"": 2, ""3"": 2, ""2"": 1}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""3"": 3, ""4"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
What a dumb hoe,2692,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 4, ""3"": 1}, ""dehumanize"": {""4"": 3, ""3"": 2}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
"@IlhanMN You're an Anti-Semitic Anti-American #ShariaLawSupremacist #Totalitarian sporting the Largest Patriarchal Misogynist Plague on Earth w/a Rabid intent to Kill all""Infidels""=Anyone who won't be their/your Slave! Your #Taqiyya is transparent & also defines you as a Repugnant Liar!",34973,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,1.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""4"": 5}, ""violence"": {""1"": 3, ""0"": 2}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
Blanca: GOD IS A WOMAN. #PoseFX URL,28865,deepseek-v4-flash_modu_no_slur,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,"{""sentiment"": {""1"": 3, ""0"": 2}, ""respect"": {""0"": 3, ""2"": 1, ""3"": 1}, ""insult"": {""0"": 4, ""1"": 1}, ""humiliate"": {""0"": 4, ""2"": 1}, ""status"": {""0"": 3, ""2"": 2}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""1"": 2, ""2"": 1, ""3"": 1, ""0"": 1}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
Canuck fans r gay lebitchs lol,40941,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,0.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""0"": 2, ""1"": 2, ""3"": 1}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""2"": 5}}",LLM_majority,LLM
"I'm Polish and you're right, while church attendance is diminishing, it's still very high. 87-92% of the population self-identifies as Catholic, and more than 35% of them attend the Mass every Sunday. There's some hope though: URL.jpg",664,deepseek-v4-flash_modu_no_slur,1,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""1"": 4, ""2"": 1}, ""respect"": {""2"": 5}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 5}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
@SvennieNicole @Slaynite @adeliaofficial_ @OmarKelly She's at fault for screwing 2 different guys and stirring up the instinctual biological response of jealousy. Wake up!,38512,deepseek-v4-flash_modu_no_slur,4,,,,,,,,,0,"{""sentiment"": {""3"": 2, ""4"": 3}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
@BoiUAFool Please fuck her so she can stop,25922,deepseek-v4-flash_modu_no_slur,4,,,,,,,,,0,"{""sentiment"": {""4"": 4, ""3"": 1}, ""respect"": {}, ""insult"": {}, ""humiliate"": {}, ""status"": {}, ""dehumanize"": {}, ""violence"": {}, ""genocide"": {}, ""attack_defend"": {}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"ah yes, New Afrika bordering the friendly Klansman State",9122,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,3.0,0.0,0.0,0.0,2.0,0,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 3, ""3"": 2}, ""insult"": {""4"": 4, ""3"": 1}, ""humiliate"": {""4"": 5}, ""status"": {""3"": 3, ""2"": 2}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 4, ""1"": 1}, ""genocide"": {""0"": 5}, ""attack_defend"": {""1"": 1, ""3"": 1, ""4"": 1, ""2"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"America god is satan literally just study the symbols and signs on the back of your dollar bill starting with the all seeing eye pyrimad of lucifer literally those are not decorations and the white image of Jesus is Cesar Borgia a homosexual rapist murder and pedophile, his lover painted him, & check out, Dana Stevens : white church must wake up your enslaving god chosen, on YouTube this is a white man telling truth & the real Jesus aka Yeshua is from the tribe of Judah same tribe Negros aka Africans in America are from, God chosen people threw bloodline, our ancestors walked with Moses ⏳",41636,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,4.0,4.0,0.0,0.0,4.0,2,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 5}, ""dehumanize"": {""3"": 1, ""2"": 1, ""0"": 1, ""4"": 2}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""0"": 1, ""2"": 4}}",LLM_majority,LLM
If my girlfriend ever cheat on me with a white man imma kill myself,39086,deepseek-v4-flash_modu_no_slur,4,3.0,3.0,1.0,1.0,0.0,0.0,0.0,3.0,0,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 2, ""3"": 3}, ""insult"": {""2"": 1, ""1"": 1, ""3"": 2, ""0"": 1}, ""humiliate"": {""3"": 2, ""2"": 1, ""0"": 2}, ""status"": {""1"": 4, ""0"": 1}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""3"": 3, ""4"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
Free immigration legal screning clinic! If you have questions related to your immigration case bring all documents pertaining to your case to receive a free consultation. URL,29244,deepseek-v4-flash_modu_no_slur,0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,"{""sentiment"": {""0"": 4, ""1"": 1}, ""respect"": {""0"": 5}, ""insult"": {""0"": 5}, ""humiliate"": {""0"": 5}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""2"": 1, ""0"": 2, ""1"": 2}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
@privchoerrory For straight people we deserve pride too #straightpride,22705,deepseek-v4-flash_modu_no_slur,3,4.0,3.0,1.0,2.0,0.0,0.0,0.0,3.0,0,"{""sentiment"": {""3"": 5}, ""respect"": {""4"": 4, ""3"": 1}, ""insult"": {""1"": 1, ""2"": 1, ""3"": 3}, ""humiliate"": {""1"": 3, ""3"": 1, ""2"": 1}, ""status"": {""2"": 5}, ""dehumanize"": {""0"": 5}, ""violence"": {""0"": 5}, ""genocide"": {""0"": 5}, ""attack_defend"": {""3"": 5}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
"If you don't love Central America, though, tough it up, stay there, and go fuck yourself.",10256,deepseek-v4-flash_modu_no_slur,4,4.0,4.0,4.0,3.0,0.0,0.0,0.0,4.0,0,"{""sentiment"": {""4"": 5}, ""respect"": {""4"": 5}, ""insult"": {""4"": 5}, ""humiliate"": {""4"": 5}, ""status"": {""4"": 1, ""3"": 4}, ""dehumanize"": {""0"": 4, ""1"": 1}, ""violence"": {""0"": 3, ""1"": 2}, ""genocide"": {""0"": 5}, ""attack_defend"": {""4"": 5}, ""hatespeech"": {""0"": 5}}",LLM_majority,LLM
